area_id,centroid_x,centroid_y,time_bin,crime_count,year,month
7,1170352.9929011667,1915158.7952642099,2001-06-01,714,2001,6
8,1174825.1205699488,1906782.4280028404,2001-06-01,1530,2001,6
9,1125454.3090479926,1945792.4921583226,2001-06-01,47,2001,6
10,1128312.2524238112,1937657.1844246434,2001-06-01,164,2001,6
11,1137104.9560430117,1935376.9598655892,2001-06-01,157,2001,6
12,1140551.95479361,1940902.8186030814,2001-06-01,67,2001,6
13,1150030.6522368554,1937217.0784950166,2001-06-01,151,2001,6
14,1150621.491422269,1931548.2057546456,2001-06-01,395,2001,6
15,1139277.1379005318,1926353.022610638,2001-06-01,554,2001,6
16,1150144.1735739347,1926265.4662503854,2001-06-01,431,2001,6
17,1127700.6737139402,1923539.8756414857,2001-06-01,243,2001,6
18,1129912.8614435624,1917280.5174140923,2001-06-01,89,2001,6
19,1138769.8261094554,1916595.390082971,2001-06-01,739,2001,6
20,1147148.2658771966,1915590.506238743,2001-06-01,249,2001,6
21,1153513.5391738585,1920853.995915648,2001-06-01,434,2001,6
22,1156836.3469266074,1915082.0084118515,2001-06-01,1028,2001,6
23,1150972.7668141976,1906770.342059686,2001-06-01,1230,2001,6
24,1163101.1946640266,1907274.5603450881,2001-06-01,1469,2001,6
25,1139501.4455203577,1904515.317302641,2001-06-01,2440,2001,6
